                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6158,                 2.8116,                0.98956,                0.71555,                0.85938,                0.82893,                0.48155,                  1.298,                  1.016,                 1.0173,               0.070149,              0.0033167,              0.0033167
                      1,                 1.4489,                  1.197,                 0.9325,                0.78983,                 0.8841,                 0.8236,                0.52974,                  1.085,                0.85918,                0.95698,               0.040083,              0.0065842,              0.0065842
                      2,                 1.4905,                 1.1872,                0.93831,                0.61437,                0.86051,                0.81738,                 0.4604,                 1.3488,                 1.2674,                  1.022,              0.0099516,              0.0097857,              0.0097857
                      3,                 1.4975,                 1.1952,                0.94087,                0.79559,                0.88837,                0.88138,                0.58571,                 1.0969,                 0.9448,                0.97559,               0.009703,               0.009703,               0.009703
                      4,                 1.4697,                 1.1256,                0.93819,                0.75344,                0.84029,                0.84431,                0.49437,                  1.355,                 1.0065,                 1.0975,               0.009703,               0.009703,               0.009703
                      5,                 1.4372,                 1.0553,                0.92985,                0.76843,                0.88372,                0.89067,                0.55728,                 1.2421,                0.88714,                 1.0016,               0.009604,               0.009604,               0.009604
                      6,                 1.3969,                 1.0236,                0.92557,                0.77721,                0.91019,                0.85521,                0.58651,                 1.0615,                0.79844,                0.94901,               0.009505,               0.009505,               0.009505
                      7,                 1.3661,                 0.9914,                0.90879,                0.74711,                0.85145,                0.76473,                0.51826,                 1.0284,                 1.0074,                0.94142,               0.009406,               0.009406,               0.009406
                      8,                 1.3272,                0.94785,                0.91063,                0.80841,                 0.9284,                0.89967,                0.63477,                0.97066,                0.74469,                0.93686,               0.009307,               0.009307,               0.009307
                      9,                 1.3081,                0.93582,                0.90348,                0.83162,                0.90626,                0.88488,                 0.6545,                0.90186,                0.76029,                0.91008,               0.009208,               0.009208,               0.009208
                     10,                 1.2693,                0.91583,                0.89428,                0.79739,                0.91227,                0.85782,                0.48823,                 1.3039,                0.83578,                 1.0207,               0.009109,               0.009109,               0.009109
                     11,                 1.2484,                0.87582,                0.89041,                0.79302,                0.93648,                0.87789,                0.63507,                 1.0057,                0.75342,                0.92552,                0.00901,                0.00901,                0.00901
                     12,                 1.2274,                0.85021,                0.88895,                0.81825,                0.91725,                0.86901,                0.60217,                 1.0037,                0.73276,                0.94208,               0.008911,               0.008911,               0.008911
                     13,                 1.2075,                 0.8398,                0.88099,                0.78055,                0.92103,                 0.8768,                0.63681,                0.97357,                0.75672,                0.92942,               0.008812,               0.008812,               0.008812
                     14,                 1.1854,                0.83379,                0.88611,                0.82645,                0.91199,                0.90631,                0.64726,                 1.0245,                0.72273,                0.92925,               0.008713,               0.008713,               0.008713
                     15,                 1.1749,                0.82001,                0.87877,                0.80431,                0.93248,                0.86787,                0.61174,                0.98709,                0.71272,                0.93274,               0.008614,               0.008614,               0.008614
                     16,                 1.1405,                0.78526,                 0.8702,                0.82457,                0.93612,                0.91698,                0.67899,                0.95715,                0.71094,                0.93297,               0.008515,               0.008515,               0.008515
                     17,                 1.1358,                0.79155,                 0.8704,                0.84901,                0.93311,                0.92539,                0.68789,                0.97976,                0.70926,                0.92292,               0.008416,               0.008416,               0.008416
                     18,                 1.1485,                0.78987,                0.87084,                0.82488,                0.93614,                0.91766,                0.67222,                0.95517,                0.71011,                 0.9283,               0.008317,               0.008317,               0.008317
                     19,                 1.1228,                0.77199,                0.87373,                0.79091,                0.92696,                0.88864,                0.67535,                0.85831,                0.70961,                0.89815,               0.008218,               0.008218,               0.008218
                     20,                 1.1136,                0.75929,                0.86722,                0.81972,                0.91555,                0.90547,                0.69431,                0.85686,                0.73247,                  0.887,               0.008119,               0.008119,               0.008119
                     21,                 1.1151,                0.76026,                0.87392,                0.84025,                0.93792,                 0.9192,                0.68611,                0.87019,                 0.6373,                0.90184,                0.00802,                0.00802,                0.00802
                     22,                 1.0902,                0.74003,                0.86354,                0.84154,                0.91893,                 0.9143,                0.68512,                0.86179,                0.68306,                0.88723,               0.007921,               0.007921,               0.007921
                     23,                 1.0742,                0.72228,                0.86076,                 0.8331,                0.91003,                0.91179,                0.68353,                 0.8719,                0.68336,                0.88817,               0.007822,               0.007822,               0.007822
                     24,                 1.0668,                0.72937,                0.85484,                0.83679,                0.93276,                0.92628,                0.71273,                0.81764,                0.59734,                0.87405,               0.007723,               0.007723,               0.007723
