                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6158,                 2.8116,                0.98956,                0.71555,                0.85938,                0.82893,                0.48155,                  1.298,                  1.016,                 1.0173,               0.070149,              0.0033167,              0.0033167
                      1,                 1.4447,                 1.1711,                0.93685,                0.75688,                0.87764,                0.82596,                0.52651,                 1.1016,                0.91686,                0.95577,                0.03971,              0.0062112,              0.0062112
                      2,                 1.4517,                 1.1474,                0.93135,                0.75817,                0.80797,                0.81154,                 0.5384,                 1.2081,                0.99167,                  1.027,              0.0088314,              0.0086656,              0.0086656
                      3,                  1.458,                 1.1164,                0.93245,                0.80888,                0.87614,                0.89555,                0.57317,                 1.1402,                0.95453,                0.97816,                0.00802,                0.00802,                0.00802
                      4,                 1.4076,                 1.0377,                0.91868,                0.79612,                0.87068,                0.88123,                0.56216,                 1.1779,                0.86781,                0.97791,                0.00802,                0.00802,                0.00802
                      5,                 1.4517,                 1.1293,                0.95189,                0.73918,                0.85613,                  0.812,                0.44517,                 1.4168,                 1.1454,                 1.0754,                0.00736,                0.00736,                0.00736
                      6,                 1.4317,                 1.0988,                0.94247,                0.84256,                0.87345,                0.88925,                0.56637,                 1.2131,                0.84397,                  1.006,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.3641,                 1.0061,                0.92214,                0.81053,                 0.8716,                0.87606,                0.61315,                0.99405,                0.90635,                0.91827,                0.00604,                0.00604,                0.00604
                      8,                 1.3102,                0.96672,                0.91124,                0.87232,                0.82039,                0.89674,                0.63856,                 1.0714,                0.84453,                0.93963,                0.00538,                0.00538,                0.00538
                      9,                  1.273,                0.91479,                0.90156,                0.84191,                0.90698,                0.88759,                0.61182,                 1.0205,                0.71082,                0.92159,                0.00472,                0.00472,                0.00472
                     10,                 1.2291,                0.86476,                 0.8929,                0.84486,                0.89796,                 0.9173,                0.70367,                0.85078,                0.72338,                 0.8846,                0.00406,                0.00406,                0.00406
                     11,                 1.1713,                0.82053,                0.87976,                 0.8437,                0.92412,                0.91715,                0.67497,                0.90346,                0.70157,                0.89513,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.1432,                0.78896,                0.87588,                0.82465,                0.94413,                0.91466,                0.66273,                0.94003,                0.69433,                0.90057,                0.00274,                0.00274,                0.00274
                     13,                 1.0874,                 0.7353,                0.86661,                0.84028,                0.95378,                0.92864,                0.72513,                0.82333,                0.73816,                0.87109,                0.00208,                0.00208,                0.00208
                     14,                 1.0537,                0.71149,                0.85399,                0.84668,                0.94161,                0.93844,                0.73329,                0.82275,                0.60273,                 0.8687,                0.00142,                0.00142,                0.00142
