                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4648,                 3.3071,                 1.1273,                0.79619,                0.85065,                0.84154,                0.55131,                 1.1119,                0.93202,                 1.0885,               0.070149,              0.0033167,              0.0033167
                      1,                 1.3067,                 1.0431,                  1.052,                0.61408,                0.71335,                0.72401,                0.46575,                 1.1128,                 1.4636,                 1.1772,                0.03982,              0.0063209,              0.0063209
                      2,                 1.2806,                 1.0153,                 1.0342,                0.70461,                0.76937,                0.76318,                 0.4271,                 1.4466,                 1.3715,                 1.3088,              0.0091609,              0.0089951,              0.0089951
                      3,                 1.2556,                 0.9581,                 1.0223,                0.80031,                0.91896,                0.88656,                0.63681,                0.96968,                0.96122,                 1.0647,               0.008515,               0.008515,               0.008515
                      4,                 1.2186,                0.91334,                 1.0157,                0.73195,                0.87938,                0.81005,                0.48736,                 1.3155,                  0.969,                 1.2939,               0.008515,               0.008515,               0.008515
                      5,                 1.1973,                0.84846,                 1.0006,                0.77121,                0.88856,                0.83767,                 0.5608,                 1.1034,                0.90635,                 1.1498,                0.00802,                0.00802,                0.00802
                      6,                 1.1507,                 0.8161,                 0.9803,                0.80807,                0.90844,                0.86436,                0.63504,                0.94833,                0.77557,                 1.0479,               0.007525,               0.007525,               0.007525
                      7,                 1.1147,                0.77127,                0.97037,                0.80347,                0.84295,                0.87153,                0.63077,                 1.0323,                0.86954,                 1.0833,                0.00703,                0.00703,                0.00703
                      8,                 1.0743,                0.72491,                0.95729,                0.82464,                0.90034,                0.92099,                0.68408,                0.95871,                0.69188,                 1.0388,               0.006535,               0.006535,               0.006535
                      9,                 1.0483,                0.71781,                0.94283,                 0.8203,                0.93085,                 0.8972,                0.68429,                0.85246,                0.69222,                0.98858,                0.00604,                0.00604,                0.00604
                     10,                 1.0595,                0.74575,                0.97041,                0.81138,                0.94404,                0.87874,                0.65342,                0.89805,                0.72634,                 1.0297,               0.005545,               0.005545,               0.005545
                     11,                 1.0497,                0.71901,                0.96692,                0.83605,                0.92629,                0.91739,                0.69142,                0.91474,                0.67811,                 1.0282,                0.00505,                0.00505,                0.00505
                     12,                  1.024,                0.71238,                0.96443,                0.77616,                 0.9246,                0.88027,                0.65237,                0.91328,                0.73109,                 1.0532,               0.004555,               0.004555,               0.004555
                     13,                 1.0059,                0.67768,                0.95421,                0.77328,                0.93781,                 0.8679,                0.67185,                0.81556,                0.75377,                0.98332,                0.00406,                0.00406,                0.00406
                     14,                0.97243,                0.65606,                0.94723,                0.83235,                0.89015,                0.91589,                0.69644,                0.86757,                0.68278,                 1.0186,               0.003565,               0.003565,               0.003565
                     15,                0.95846,                0.64381,                0.93663,                0.87388,                0.91429,                0.94326,                0.74074,                0.80828,                0.63442,                0.97832,                0.00307,                0.00307,                0.00307
                     16,                0.92368,                0.62334,                0.92617,                 0.8481,                0.89323,                0.91368,                0.71483,                0.84452,                0.68532,                0.98956,               0.002575,               0.002575,               0.002575
                     17,                  0.908,                0.59804,                0.91768,                 0.8494,                0.94102,                0.92254,                 0.7278,                0.78762,                0.62241,                0.97577,                0.00208,                0.00208,                0.00208
                     18,                0.86939,                0.58524,                0.90291,                0.83957,                0.93011,                0.93246,                 0.7521,                0.75319,                0.66308,                0.95026,               0.001585,               0.001585,               0.001585
                     19,                0.84493,                0.55506,                0.90074,                0.86837,                 0.9303,                0.93745,                0.75863,                0.74256,                0.64369,                0.94702,                0.00109,                0.00109,                0.00109
