                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6158,                 2.8116,                0.98956,                0.71555,                0.85938,                0.82893,                0.48155,                  1.298,                  1.016,                 1.0173,               0.070149,              0.0033167,              0.0033167
                      1,                 1.4452,                 1.1968,                0.93482,                 0.8277,                0.83966,                0.84059,                0.53763,                 1.0534,                0.90172,                0.94252,               0.040018,              0.0065184,              0.0065184
                      2,                 1.4862,                 1.1784,                0.93864,                0.72579,                0.81158,                0.78587,                0.49772,                 1.0864,                 1.1091,                0.94592,              0.0097539,              0.0095881,              0.0095881
                      3,                 1.4764,                 1.1764,                0.95092,                0.76527,                0.82224,                0.85829,                0.55947,                  1.119,                 1.0453,                 1.0424,               0.009406,               0.009406,               0.009406
                      4,                 1.4455,                 1.1034,                0.94331,                0.79824,                0.83911,                0.83881,                0.49541,                 1.2949,                 1.0252,                 1.0882,               0.009406,               0.009406,               0.009406
                      5,                 1.4087,                 1.0361,                0.93018,                 0.7617,                0.82038,                0.85182,                0.58223,                 1.0429,                0.95232,                 0.9429,               0.009208,               0.009208,               0.009208
                      6,                  1.372,                0.98974,                0.92157,                0.81014,                0.88498,                  0.882,                0.57198,                 1.1575,                0.87166,                0.98695,                0.00901,                0.00901,                0.00901
                      7,                 1.3563,                0.96783,                0.90975,                0.73922,                0.82855,                0.75743,                 0.5387,                0.99533,                0.98954,                0.95104,               0.008812,               0.008812,               0.008812
                      8,                  1.317,                0.92624,                0.90917,                0.82108,                0.90687,                 0.8758,                0.61314,                  1.025,                0.74333,                0.96726,               0.008614,               0.008614,               0.008614
                      9,                 1.2952,                0.91859,                 0.8994,                0.84814,                0.92149,                 0.9072,                0.63458,                 1.0273,                0.73009,                0.98119,               0.008416,               0.008416,               0.008416
